CITYPE,CISUBTYPE,SERVCOMP,IMPACT,URGENCY,TEAM,TIMESTAMP,INTERACTIONID,INCIDENTID
application,Client Based Application,WBS000073,5,5,TEAM0007,19/09/2013 15:26,SD0000813,IM0000606
application,Server Based Application,WBS000263,5,5,TEAM0102,20/09/2013 11:06,SD0000831,IM0000614
application,Web Based Application,WBS000088,4,4,TEAM0003,20/09/2013 12:19,SD0000832,IM0000613
application,Client Based Application,WBS000073,3,3,TEAM0008,20/09/2013 12:46,SD0000833,IM0000615
computer,Laptop,WBS000091,5,5,TEAM0008,20/09/2013 15:54,SD0000840,IM0000622
computer,Banking Device,WBS000016,5,5,TEAM0051,20/09/2013 16:23,SD0000834,IM0000616
application,Server Based Application,WBS000296,3,3,TEAM0095,20/09/2013 17:08,SD0000836,IM0000618
computer,Laptop,WBS000187,5,5,TEAM0008,23/09/2013 7:28,SD0000847,IM0000633
application,Server Based Application,WBS000296,5,5,TEAM0093,23/09/2013 9:10,SD0000853,IM0000631
application,Desktop Application,WBS000135,4,4,TEAM0088,23/09/2013 9:24,SD0000854,IM0000632
computer,Desktop,WBS000187,5,5,TEAM0101,23/09/2013 9:55,SD0000848,IM0000634
application,Desktop Application,WBS000089,4,4,TEAM0008,23/09/2013 10:19,SD0000856,IM0000641
computer,Desktop,WBS000187,5,5,TEAM0008,23/09/2013 10:47,SD0000857,IM0000642
application,Server Based Application,WBS000285,5,5,TEAM0065,23/09/2013 11:19,SD0000864,IM0000644
application,Server Based Application,WBS000014,3,3,TEAM0008,23/09/2013 13:59,SD0000880,IM0000652
application,Web Based Application,WBS000138,4,4,TEAM0041,23/09/2013 14:18,SD0000863,IM0000656
application,SAP,WBS000271,5,5,TEAM0017,23/09/2013 14:31,SD0000882,IM0000657
computer,Laptop,WBS000091,5,5,TEAM0008,23/09/2013 15:24,SD0000871,IM0000654
application,Desktop Application,WBS000089,4,4,TEAM0008,23/09/2013 15:26,SD0000872,IM0000655
application,Server Based Application,WBS000014,5,5,TEAM0008,23/09/2013 16:04,SD0000897,IM0000670
application,Desktop Application,WBS000092,5,5,TEAM0008,23/09/2013 16:17,SD0000888,IM0000664
application,Server Based Application,WBS000249,4,4,TEAM0008,23/09/2013 16:21,SD0000893,IM0000675
application,Desktop Application,WBS000092,4,4,TEAM0074,23/09/2013 16:52,SD0000898,IM0000671
application,SAP,WBS000271,5,5,TEAM0015,24/09/2013 8:14,SD0000891,IM0000666
application,Desktop Application,WBS000092,5,5,TEAM0008,24/09/2013 8:39,SD0000892,IM0000686
application,Web Based Application,WBS000073,5,5,TEAM0007,24/09/2013 11:07,SD0000917,IM0000710
application,Desktop Application,WBS000092,4,4,TEAM0008,24/09/2013 11:21,SD0000918,IM0000711
application,Desktop Application,WBS000092,5,5,TEAM0075,24/09/2013 11:29,SD0000912,IM0000692
application,Web Based Application,WBS000073,4,5,TEAM0007,24/09/2013 12:04,SD0000927,IM0000702
subapplication,Web Based Application,WBS000073,4,4,TEAM0023,24/09/2013 12:19,SD0000930,IM0000713
application,Server Based Application,WBS000072,5,5,TEAM0017,24/09/2013 12:51,SD0000929,IM0000703
subapplication,Web Based Application,WBS000125,5,5,TEAM0007,24/09/2013 13:20,SD0000935,IM0000722
application,Desktop Application,WBS000093,4,4,TEAM0126,24/09/2013 13:43,SD0000956,IM0000728
application,Server Based Application,WBS000284,4,4,TEAM0104,24/09/2013 13:54,SD0000947,IM0000705
application,Server Based Application,WBS000284,3,3,TEAM0104,24/09/2013 13:57,SD0000936,IM0000723
application,Server Based Application,WBS000170,4,4,TEAM0041,24/09/2013 13:58,SD0000948,IM0000706
application,Desktop Application,WBS000092,5,5,TEAM0008,24/09/2013 14:06,SD0000957,IM0000729
application,Web Based Application,WBS000055,5,5,TEAM0003,24/09/2013 14:07,SD0000949,IM0000707
application,Web Based Application,WBS000073,4,4,TEAM0008,24/09/2013 14:29,SD0000950,IM0000708
application,Desktop Application,WBS000092,5,5,TEAM0008,24/09/2013 14:45,SD0000951,IM0000733
application,Server Based Application,WBS000039,5,5,TEAM0124,24/09/2013 14:58,SD0000941,IM0000696
application,Web Based Application,WBS000073,4,4,TEAM0057,24/09/2013 15:11,SD0000954,IM0000737
application,Desktop Application,WBS000092,4,4,TEAM0074,24/09/2013 15:31,SD0000961,IM0000746
application,Desktop Application,WBS000092,4,4,TEAM0008,24/09/2013 16:15,SD0000965,IM0000753
application,Web Based Application,WBS000318,5,5,TEAM0007,24/09/2013 16:15,SD0000976,IM0000742
computer,Desktop,WBS000187,5,5,TEAM0008,24/09/2013 16:19,SD0000966,IM0000751
application,Desktop Application,WBS000092,4,4,TEAM0008,24/09/2013 16:31,SD0000968,IM0000755
application,Desktop Application,WBS000092,4,4,TEAM0008,24/09/2013 16:43,SD0000970,IM0000754
application,Server Based Application,WBS000296,5,5,TEAM0093,24/09/2013 16:50,SD0000971,IM0000756
application,Server Based Application,WBS000072,5,5,TEAM0017,24/09/2013 16:51,SD0000972,IM0000757
application,Web Based Application,WBS000073,4,4,TEAM0008,24/09/2013 17:16,SD0000977,IM0000743
application,SAP,WBS000271,5,5,TEAM0015,25/09/2013 7:51,SD0000979,IM0000745
application,Desktop Application,WBS000091,3,3,TEAM0075,25/09/2013 8:38,SD0000990,IM0000764
application,SAP,WBS000271,5,5,TEAM0035,25/09/2013 9:46,SD0000997,IM0000769
no type,no subtype,WBS000135,5,5,TEAM0008,25/09/2013 9:47,SD0000985,IM0000761
application,Web Based Application,WBS000073,4,4,TEAM0048,25/09/2013 9:53,SD0000987,IM0000763
application,Web Based Application,WBS000055,4,4,TEAM0003,25/09/2013 9:56,SD0001003,IM0000773
application,Web Based Application,WBS000073,5,5,TEAM0007,25/09/2013 10:41,SD0001010,IM0000790
computer,Desktop,WBS000187,5,5,TEAM0008,25/09/2013 10:43,SD0001017,IM0000785
application,Web Based Application,WBS000073,4,4,TEAM0007,25/09/2013 11:01,SD0001012,IM0000792
application,Web Based Application,WBS000132,5,5,TEAM0041,25/09/2013 11:30,SD0001028,IM0000794
application,Desktop Application,WBS000092,5,5,TEAM0008,25/09/2013 11:37,SD0001019,IM0000800
application,Desktop Application,WBS000093,3,4,TEAM0010,25/09/2013 13:49,SD0001037,IM0000823
application,Server Based Application,WBS000326,3,3,TEAM0023,25/09/2013 14:01,SD0001043,IM0000814
application,Web Based Application,WBS000167,5,5,TEAM0069,25/09/2013 14:08,SD0001041,IM0000809
application,Web Based Application,WBS000073,4,5,TEAM0007,25/09/2013 14:19,SD0001045,IM0000815
application,Citrix,WBS000292,4,4,TEAM0075,25/09/2013 14:28,SD0001051,IM0000805
subapplication,Web Based Application,WBS000073,4,4,TEAM0048,25/09/2013 15:06,SD0001049,IM0000820
application,Web Based Application,WBS000088,4,4,TEAM0003,25/09/2013 16:26,SD0001042,IM0000810
computer,Desktop,WBS000187,5,5,TEAM0008,25/09/2013 17:10,SD0001059,IM0000830
storage,SAN,WBS000128,5,5,TEAM0008,26/09/2013 8:28,SD0001054,IM0000840
application,SAP,WBS000271,5,5,TEAM0015,26/09/2013 8:28,SD0001061,IM0000832
computer,Laptop,WBS000091,5,5,TEAM0008,26/09/2013 8:32,SD0001063,IM0000833
computer,Laptop,WBS000091,5,5,TEAM0008,26/09/2013 8:44,SD0001064,IM0000834
computer,Laptop,WBS000091,5,5,TEAM0008,26/09/2013 9:07,SD0001071,IM0000846
computer,Laptop,WBS000091,5,5,TEAM0008,26/09/2013 9:08,SD0001072,IM0000847
application,Server Based Application,WBS000072,5,5,TEAM0025,26/09/2013 9:26,SD0001086,IM0000842
computer,Desktop,WBS000187,5,5,TEAM0008,26/09/2013 9:29,SD0001073,IM0000849
application,Desktop Application,WBS000092,5,5,TEAM0008,26/09/2013 9:39,SD0001089,IM0000843
application,Desktop Application,WBS000089,4,4,TEAM0075,26/09/2013 9:42,SD0001090,IM0000844
subapplication,Web Based Application,WBS000073,4,4,TEAM0031,26/09/2013 10:11,SD0001074,IM0000851
application,Desktop Application,WBS000089,4,4,TEAM0075,26/09/2013 10:39,SD0001082,IM0000839
application,Server Based Application,WBS000008,4,4,TEAM0029,26/09/2013 11:07,SD0001101,IM0000857
application,Desktop Application,WBS000092,5,5,TEAM0008,26/09/2013 11:18,SD0001102,IM0000858
application,Server Based Application,WBS000072,5,5,TEAM0017,26/09/2013 11:19,SD0001077,IM0000887
application,Server Based Application,WBS000073,5,5,TEAM0007,26/09/2013 11:23,SD0001078,IM0000888
application,Server Based Application,WBS000073,4,4,TEAM0007,26/09/2013 11:31,SD0001098,IM0000880
application,Web Based Application,WBS000073,5,5,TEAM0007,26/09/2013 11:47,SD0001103,IM0000859
application,Server Based Application,WBS000263,4,4,TEAM0015,26/09/2013 11:49,SD0001110,IM0000890
application,Server Based Application,WBS000223,4,4,TEAM0057,26/09/2013 11:58,SD0001119,IM0000870
application,SAP,WBS000271,5,5,TEAM0027,26/09/2013 12:22,SD0001113,IM0000892
computer,VDI,WBS000292,3,3,TEAM0087,26/09/2013 13:10,SD0001107,IM0000865
computer,Desktop,WBS000187,5,5,TEAM0008,26/09/2013 14:08,SD0001141,IM0000911
application,Web Based Application,WBS000088,4,4,TEAM0003,26/09/2013 14:15,SD0001132,IM0000920
application,Web Based Application,WBS000073,4,4,TEAM0023,26/09/2013 14:21,SD0001117,IM0000895
application,Web Based Application,WBS000073,4,4,TEAM0031,26/09/2013 14:21,SD0001133,IM0000922
computer,Desktop,WBS000091,5,5,TEAM0008,26/09/2013 14:21,SD0001134,IM0000921
application,Server Based Application,WBS000242,4,4,TEAM0094,26/09/2013 14:22,SD0001143,IM0000912
computer,Banking Device,WBS000146,4,4,TEAM0038,26/09/2013 14:36,SD0001135,IM0000923
application,Server Based Application,WBS000256,4,4,TEAM0075,26/09/2013 14:46,SD0001154,IM0000900
application,Server Based Application,WBS000300,5,5,TEAM0058,26/09/2013 14:48,SD0001145,IM0000905
application,Desktop Application,WBS000111,5,5,TEAM0008,26/09/2013 15:06,SD0001137,IM0000925
hardware,Encryption,WBS000123,4,4,TEAM0013,26/09/2013 15:13,SD0001147,IM0000914
application,Server Based Application,WBS000296,4,4,TEAM0093,26/09/2013 15:26,SD0001161,IM0000936
application,Web Based Application,WBS000153,5,5,TEAM0051,26/09/2013 15:32,SD0001157,IM0000903
computer,Laptop,WBS000091,5,5,TEAM0008,26/09/2013 15:43,SD0001158,IM0000904
application,Server Based Application,WBS000263,5,5,TEAM0016,26/09/2013 15:55,SD0001140,IM0000928
subapplication,Web Based Application,WBS000015,5,5,TEAM0113,26/09/2013 16:22,SD0001165,IM0000939
application,Server Based Application,WBS000016,3,3,TEAM0008,26/09/2013 16:37,SD0001166,IM0000940
application,Desktop Application,WBS000092,4,4,TEAM0008,26/09/2013 16:48,SD0001149,IM0000917
computer,Desktop,WBS000187,5,5,TEAM0008,26/09/2013 17:35,SD0001181,IM0000929
application,Web Based Application,WBS000152,5,5,TEAM0069,27/09/2013 8:17,SD0001169,IM0000943
computer,Desktop,WBS000091,4,4,TEAM0008,27/09/2013 8:17,SD0001173,IM0000907
computer,Laptop,WBS000091,5,5,TEAM0021,27/09/2013 8:57,SD0001177,IM0000951
application,Server Based Application,WBS000309,4,3,TEAM0041,27/09/2013 9:01,SD0001182,IM0000930
application,Server Based Application,WBS000223,4,4,TEAM0057,27/09/2013 9:05,SD0001199,IM0000945
application,Desktop Application,WBS000092,4,4,TEAM0008,27/09/2013 9:18,SD0001208,IM0000953
computer,Laptop,WBS000091,5,5,TEAM0008,27/09/2013 9:47,SD0001210,IM0000954
displaydevice,Monitor,WBS000091,4,4,TEAM0008,27/09/2013 9:50,SD0001187,IM0000977
application,Web Based Application,WBS000055,4,4,TEAM0003,27/09/2013 9:50,SD0001194,IM0000959
application,Desktop Application,WBS000092,4,4,TEAM0044,27/09/2013 9:58,SD0001197,IM0000960
application,Server Based Application,WBS000223,4,4,TEAM0057,27/09/2013 10:21,SD0001213,IM0000955
application,Server Based Application,WBS000263,4,4,TEAM0016,27/09/2013 10:33,SD0001219,IM0000957
application,SAP,WBS000271,5,5,TEAM0027,27/09/2013 10:35,SD0001188,IM0000978
application,Client Based Application,WBS000073,3,3,TEAM0013,27/09/2013 10:36,SD0001204,IM0000966
computer,Banking Device,WBS000146,3,3,TEAM0008,27/09/2013 10:54,SD0001215,IM0000962
application,Web Based Application,WBS000152,5,5,TEAM0069,27/09/2013 10:59,SD0001230,IM0000980
application,Web Based Application,WBS000152,5,5,TEAM0069,27/09/2013 11:00,SD0001207,IM0000969
application,Server Based Application,WBS000017,4,4,TEAM0008,27/09/2013 11:13,SD0001221,IM0000989
application,Server Based Application,WBS000223,4,4,TEAM0057,27/09/2013 11:18,SD0001223,IM0000991
application,Web Based Application,WBS000073,4,4,TEAM0031,27/09/2013 11:49,SD0001226,IM0000993
application,Server Based Application,WBS000223,4,4,TEAM0057,27/09/2013 11:59,SD0001241,IM0000970
application,Web Based Application,WBS000152,5,5,TEAM0069,27/09/2013 13:12,SD0001262,IM0000995
subapplication,Web Based Application,WBS000073,4,4,TEAM0023,27/09/2013 13:54,SD0001260,IM0001004
application,Server Based Application,WBS000014,3,3,TEAM0129,27/09/2013 13:55,SD0001248,IM0001011
application,Web Based Application,WBS000073,4,4,TEAM0007,27/09/2013 14:18,SD0001266,IM0000997
computer,Windows Server,WBS000102,4,4,TEAM0065,27/09/2013 15:08,SD0001239,IM0000986
application,Server Based Application,WBS000300,3,3,TEAM0003,27/09/2013 15:08,SD0001268,IM0001017
subapplication,Web Based Application,WBS000073,4,4,TEAM0023,27/09/2013 15:13,SD0001269,IM0001005
application,Server Based Application,WBS000223,4,4,TEAM0057,27/09/2013 15:20,SD0001270,IM0001006
